sentence_id,text
301,ところがですね、完璧主義っていうのはね、ま、これアウトなんですよね。
302,ただ自分に甘くなるってことじゃなくて、こう建設的に改善するってことはすごく重要なんで、最初は夜感があると思うんですけどね。
303,挑戦し続けるのむずいんですよ。
304,で、これは100点なんだけども、80点主義と違って余裕がないんです。
305,確かにこういうとこダメだったよね。
306,も、もうやめましたけど。
307,だから組織の中で働いたら8割でいいんですよ。
308,多分3時間働いて成果が出たら5時間、8時間10時間働いたらってなるわけですよね。
309,で、さらに言うとこれをできるようになって、もし皆さんが40点から60点ぐらいではい。
310,ま、この時点で資料を全部作成するAIは超えれるんですよね。
311,ちなみにね、これね、完付の改善ね、したい人はですね、これ、あの、ディーラボのにで紹介してる認知コ行動療法とか短主主義対策やってみるといいですよ。
312,そう結果どうなるかっていうと、むしろ80点の方が評価されたりとか、意外とそんなに大騒りにならないんですよ。
313,インポスター商候はい。
314,ちなみにこれ言うとみんなあんまりパッと思いつかないと思うんですけどSNSとかもそうですからね。
315,だから他人からの承認求めちゃうとですね、相手に振り回されちゃうんですよね。
316,使いづらいだろそれっていうね。
317,サボってもオッケーだから縛られてはないんですが、タイムカードのタイミけてもうまず仕事をする時にサボりたい仕事ってのが終わってんですよ。
318,コロコロ変わるから他人の評価って。
319,それはあの本来は時間を超える仕事っていくらでもあるんですよ。
320,時間の使い方が中途半端すぎる。
321,で、こう自分を見失う自己喪失って言うんですけどに陥りがちになるんですよ。
322,その雑談やってたんだけどなんか同じような質問来るし面白くねえなってなっちゃってで結果ま、ま、今なんかちょっとま、またしばらく実験ですけどね。
323,でも自分でも色々あの、あの、探してみるといいと思いますよ、これは。
324,自分で自分を認めるって癖をつけるってことが大事ですね。
325,意外とね、助けてって。
326,万能感を手放そうってやつですね。
327,検査以外は基本的にはこれ苦しむんですよ。
328,また家とかでも完璧な親とか完璧なパートナーであるっていう風に考えるんじゃなくて、時には今日疲れたからさ、ちょっと助けてほしいんだよねとかって風に伝えるとかさ。
329,そういう人は永遠に苦しめばいいよ。
330,だからこの予想外の対処能力が低いってだけなんですよ。
331,ダメな時は別に切りゃいいんでそれはうんで、もうちょっとね、あの、専門的話をするとコントロール欲求の通さの問題なんだよね。
332,例えばじゃ、僕の場合だったら、えっと、僕って人と同じのが嫌なんですよ。
333,自己犠牲が積み重なっちゃってストレスがどんどん溜まってくんですよね。
334,みたいな、え、もう意味わかんないみたいな人がするわけですよ。
335,言うと多分ぐさっとくると思うんですけど。
336,結局のところ全部自分であるから完璧じゃなくていや予想外に対処できないだけですよね。
337,だからこういう仕事をしようって選ばないとダメなんですよ。
338,話さなかったら結局ね、あの相談自分がはあの文句を言うというか、あの相手にちゃんと分かりやすい形でこうして欲しいって状況を伝えなかったら半分は自分の責任なんで。
339,20点分の余裕があると、あ、100点を超えられるんで話をしましたね。
340,そういえばもうちょっと自分のスキル上げるのがいいですよ。
341,その上でちゃんと周りと調整してお互いが納得できる借視点っての見るのはすごく大事なんで。
342,家庭でもさ、育児とかの役割とか家族と再交渉するとかさ。
343,てか実は全部自分でやりたい方が人生とうまくいくんで。
344,[音楽]1950年11月21日、米国第7団の一歩連帯が北朝鮮の閉産に進行した。
345,王力の向こう側にはいてついた満州の原野朝鮮戦争勃発後5ヶ月目、国連軍の勝利は木前であり、広告でのクリスマスを楽しみ少し南のチャンジ近くでは海兵第一次団のニコ連隊が最終攻撃の準備を始めていた。
346,未来に目を向け、地震に満ち溢れていたのである。
347,[拍手]国に幸復した日本の軍隊は解退される。
348,脳作業に借り出されていた国境防衛軍はソ連軍に訓練された9万人の北朝鮮軍は4[音楽]北朝鮮のニコ団が韓国の一個連帯を壊滅さキムイルソン北朝鮮軍の圧勝であった。
349,ブラッドスミス中査が率きるこの機道部隊は韓国南部の港プに到着する。
350,プさから北上しながら戦うことになってい崩壊前の韓国軍を立て直すためである。
